gene	bridging
C2CD6	1.95572289611178e-06
KANK2	9.77234238243979e-07
FAM214B	1.1518020156882587e-06
PRDM6	9.571323792007834e-07
ZNF200	7.723906430855596e-06
PRDM11	0.0
SOX30	2.8363797778290774e-06
BARX2	1.2901702941945836e-06
IFI35	2.8000421525363356e-06
RFX3	1.888467083974152e-06
YPEL3	7.170078301800472e-07
ABLIM1	3.8803222346964185e-06
MISP	1.1315286596159757e-06
CCDC198	4.296989169289156e-06
YY1	8.019895543054658e-07
GMEB2	2.0266029698294814e-06
TOX3	1.7430628585925834e-06
RASL12	3.632567092869188e-06
ZNF85	2.249118895203743e-06
POU6F2	8.635057347426207e-07
GTF2H1	6.240635870024507e-07
PHF1	1.391468728965266e-06
ID3	1.0853853513534456e-06
BLZF1	1.3615465702858772e-06
KLF12	6.401784590338009e-06
CCDC92	7.209082143742056e-06
LRIF1	1.0110661193438358e-06
SNAI1	2.3174879752005253e-06
C20orf85	1.581265752562881e-06
AMOT	1.5070647628762024e-06
RAI2	1.0255111443373187e-05
CSN2	5.949313113011488e-06
PRR5L	1.5266365214861465e-06
PHF21A	1.801186261064549e-06
NIBAN1	1.3839251143897557e-06
ABI1	9.324769679759201e-07
ZSCAN9	1.9450927486645365e-06
SLAIN1	1.1183311489969574e-06
GLYR1	1.1772488513186025e-06
GATAD2B	1.3330077836683062e-06
CAND2	4.577145674175331e-06
DDIT4L	8.781612654946571e-07
RIPPLY1	1.7722710868531823e-06
A1CF	1.9265554048785154e-06
SH3RF1	8.112206976690676e-07
LDLRAP1	1.4967513618973406e-06
PKNOX1	1.326817674492351e-06
HSF2BP	5.635488097671945e-07
SCNM1	9.87317272278703e-07
DAPL1	1.945870322409527e-06
ANKRD55	1.2841310151722307e-06
PKNOX2	1.8709944167372768e-06
AKIP1	1.936853802946132e-06
ZNF143	4.687312722414623e-07
SP2	1.5235898775483754e-06
ZNF23	5.904905464046216e-06
GNG4	3.456330586582662e-07
VXN	2.2244686431466243e-06
DLGAP1	2.077582607032865e-06
KIF5B	2.5509757302026866e-06
MBD3L1	1.3628250718080276e-06
ZNF131	1.531717778725773e-06
IL16	1.8820590882623814e-06
GNG12	3.1518584843457293e-07
JUP	1.0806977402067175e-06
DEAF1	1.6827302699534084e-06
ZNF620	1.4792729707147338e-06
TRIM73	4.23119840228058e-06
WASHC1	1.9021305782622104e-06
IKZF1	9.735143965253015e-07
NBPF6	1.0310847652189085e-06
SPRY4	1.8484691535626475e-06
GTF2F2	3.320516958031268e-07
SAXO2	6.752921372423752e-07
ZNF655	8.112353973547912e-07
SREBF2	1.2685111074525902e-06
KPRP	1.0838768839600972e-06
TCP10L	2.7509916091943335e-06
MAGEL2	3.2468354806258976e-06
MYO15B	1.2189238222298501e-06
REL	6.765757266791222e-07
ZNF417	1.0349563736961913e-06
HCK	9.725516651720835e-07
ZFP64	2.3321261898153345e-06
DTX2	1.1985012990126218e-06
F5H1Q3	3.12849226400468e-06
SIGLEC6	3.610418191680573e-06
ZBTB25	1.9918701211668687e-06
INCA1	7.385873080882938e-07
KIAA1217	2.496952412844917e-06
ZMYM4	3.5027746353637157e-06
SAXO1	1.0880299612776565e-06
ARHGAP9	4.695937989822902e-06
DUSP10	2.53204534622834e-06
STAT3	5.716174146646885e-07
DVL2	8.610368424810949e-07
DVL3	8.471627017361124e-07
SMAD3	6.829171257626957e-07
SP1	5.033471800009191e-07
JUN	5.243842534041587e-07
EGR2	8.579619652067318e-07
FOS	6.006759893610743e-07
TFAP2A	8.429885750661038e-07
MAPK1	7.125738561183039e-07
ATF3	1.1354350403421107e-06
GATA2	1.097148709919145e-06
SIRT1	8.497058849683254e-07
CREB1	6.88242750989195e-07
SMAD2	5.479803653285963e-07
SMAD4	6.289699973264352e-07
DVL1	7.728967494042403e-07
ANKRD1	1.9371526352835422e-06
TRAF2	5.213391413714353e-07
PHB2	3.0789014283064633e-06
PELP1	3.524421458106465e-06
SOX15	8.984075845144324e-07
CREM	1.992138474825757e-06
DPF2	2.2173332602820047e-06
GABPA	8.03815461023979e-07
GLIS2	1.2143687058319029e-06
HCFC1	1.2924081086490855e-06
SPHK1	2.513830894456687e-06
ZNF341	4.6177544959155984e-06
CTBP2	4.780088678422288e-07
TRIP6	7.794259216060511e-07
LASP1	2.423640076583304e-06
KLF8	0.0
MZF1	1.795836406168862e-06
CDC25B	1.2647084830104148e-06
AIMP2	1.6708442623018944e-06
PAK7	4.729549288085877e-06
CDC42EP1	3.825928167817577e-06
PHC2	1.3060300215009143e-06
RBM42	7.317583589108328e-07
RFX6	1.2773655980851846e-06
MED15	8.928296252901388e-07
LNX1	7.850716430242382e-07
ADAMTSL4	6.518610154329872e-07
HOXA1	7.338230740648264e-07
GUCD1	9.84056261208598e-07
FAM90A1	1.3465994217912913e-06
DMRT3	1.631266016978311e-06
GCM2	1.4887572455458804e-06
LMO4	1.2604431324438972e-06
PRR35	7.830972807452363e-07
CRYBA2	1.0537397563958795e-06
ARID5A	1.15589384349377e-06
CYSRT1	4.693963220100562e-07
NDUFAB1	1.6886319710131625e-06
PKP2	2.3353541627871537e-06
WNK1	5.819556712468654e-07
TBC1D22B	1.3446738576348192e-06
DLGAP4	2.808881665693925e-06
CASS4	9.399321114182406e-07
RSPH14	2.0627843804130582e-06
ARHGEF10	6.244623552938223e-06
LHB	3.5178698375033917e-06
TYK2	8.396246768388873e-07
THEG	7.5427397905909126e-06
MRPL27	2.548685039041025e-07
KLF3	2.2328099152660426e-06
SNRPC	6.45294437849473e-07
SNRPB	7.511726848716387e-07
FAM110A	2.550116988398857e-06
KIRREL2	5.299880836741171e-06
HAPLN2	1.9415715532907168e-06
SBF2	3.5557666633525836e-06
KIDINS220	2.007190625080565e-06
SDCBP	9.3724317826489e-07
ZCCHC14	2.050277229711308e-06
CBX8	1.3129805147591321e-06
C1orf94	2.322917466373843e-06
SNRPG	2.733470676785535e-07
TMEM108	4.035003888920436e-06
